,Title,Score,Searching,VOD이용건수,해외영화제수상,국내영화제수상,관객수
321,코렐라인: 비밀의 문,9.11,4940,0,0,0,58692
322,투캅스 3,9.11,1680,0,0,0,117186
323,호로비츠를 위하여,9.11,2210,0,0,0,185978
324,노킹 온 헤븐스 도어,9.11,7910,0,0,0,18090
325,"불량소녀, 너를 응원해!",9.11,108500,0,0,0,6502
326,써니,9.11,326900,0,0,0,2004824
327,에너미 오브 스테이트,9.11,1610,0,0,0,287714
328,"제자, 옥한흠",9.11,4850,0,0,0,16587
329,이터널 선샤인,9.11,67400,3576,1,0,0
330,늑대아이,9.11,14240,0,0,0,117691
331,무간도,9.1,111400,0,0,0,157349
332,책상 서랍 속의 동화,9.1,470,0,0,0,26389
333,빽 투 더 퓨쳐 3,9.1,180,0,0,0,0
334,빅 히어로,9.1,19810,0,0,0,772249
335,히트,9.1,17090,0,0,0,22396
336,시스터 액트 2,9.1,3060,0,0,0,0
337,패딩턴 2,9.1,8880,0,0,0,89520
338,분노의 질주: 더 세븐,9.1,1830,12336,0,0,864171
339,하울의 움직이는 성,9.1,60200,0,0,0,981221
340,스피드,9.1,12320,0,1,0,874225
341,정무문,9.1,3440,0,0,0,317780
342,혐오스런 마츠코의 일생,9.1,13110,0,0,0,18005
343,카우보이 비밥 - 천국의 문,9.1,360,0,0,0,0
344,러브레터,9.1,18030,0,0,0,7108
345,스틸 라이프,9.09,4540,0,0,0,9718
346,불꽃 슛 통키,9.09,810,0,0,0,0
347,샤인,9.09,12960,0,1,0,151895
348,에반게리온: 파,9.09,1480,0,0,0,45068
349,짱구는 못말려 극장판: 정면승부! 로봇아빠의 역습,9.09,20,0,0,0,22562
350,길버트 그레이프,9.09,5380,0,0,0,37304
351,고양이 춤,9.09,10,0,0,0,7373
352,추격자,9.09,32650,0,0,0,1662668
353,인터스텔라,9.09,624300,2855,0,0,3079036
354,호텔 르완다,9.09,2400,0,1,0,9289
355,아홉살 인생,9.09,6260,0,0,0,129800
356,물랑 루즈,9.09,12510,0,0,0,530812
357,배트맨 2,9.08,1530,0,0,0,168943
358,트윈스터즈,9.08,1020,0,0,0,7005
359,스탠 바이 미,9.08,3440,0,0,0,0
360,스타워즈 에피소드 3 - 시스의 복수,9.08,140,0,0,0,651210
361,캐리비안의 해적 - 블랙 펄의 저주,9.08,80,0,0,0,738275
362,휘트니,9.08,6250,0,0,0,13787
363,용서받지 못한 자,9.08,38900,0,3,0,8686
364,이프 온리,9.08,43720,675,0,0,454606
365,누들,9.08,3210,0,0,0,24631
366,러브 어페어,9.07,9390,0,0,0,19752
367,콘 에어,9.07,4550,0,0,0,979100
368,봄날은 간다,9.07,22270,0,0,0,376642
369,명탐정 코난: 침묵의 15분,9.07,980,0,0,0,124473
370,클리프행어,9.07,1820,0,0,0,1118583
371,버킷리스트: 죽기 전에 꼭 하고 싶은 것들,9.07,120,0,0,0,178399
372,너는 내 운명,9.07,37380,0,0,0,94958
373,아이덴티티,9.07,43200,0,0,0,226354
374,아바타,9.07,43100,0,0,0,3993374
375,브루스 올마이티,9.06,6710,0,0,0,583395
376,월플라워,9.06,116600,0,0,0,10529
377,용서받지 못한 자,9.06,38900,0,3,0,8686
378,글루미 선데이,9.06,9870,0,0,0,39308
379,세븐 데이즈,9.06,12010,0,0,0,713941
380,인사이드 아웃,9.06,51400,25919,0,0,1594626
381,파이란,9.06,6030,0,0,0,222711
382,하모니,9.06,15540,0,0,0,718993
383,진용,9.06,2060,0,0,0,92401
384,리얼 스틸,9.06,9630,0,0,0,1090591
385,박하사탕,9.05,15030,0,0,0,290352
386,로건,9.05,19700,13830,0,0,655286
387,내 깡패 같은 애인,9.05,6170,0,0,0,182817
388,원스 어폰 어 타임 인 아메리카,9.05,7100,0,0,0,146130
389,첨밀밀,9.05,38260,0,0,0,63366
390,하치 이야기,9.05,15130,0,0,0,4917
391,구니스,9.05,3070,0,0,0,337866
392,코알라,9.05,17730,0,0,0,4557
393,올드보이,9.05,129900,0,0,0,3777
394,피케이: 별에서 온 얼간이,9.05,30,0,0,0,17050
395,브레이크다운,9.05,4790,0,0,0,49928
396,블랙 호크 다운,9.05,5960,0,1,0,321389
397,택시운전사,9.05,271800,111344,0,0,2729932
398,파리넬리,9.05,8980,0,0,0,0
399,노트북,9.05,27220,3065,0,0,219593
400,어네스트와 셀레스틴,9.05,780,0,0,0,18826
401,터보,9.04,26550,7396,0,0,398526
402,스즈미야 하루히의 소실,9.04,430,0,0,0,11595
403,식스 센스,9.04,17610,0,0,0,797761
404,벅스 라이프,9.04,4310,0,0,0,369032
405,영구와 땡칠이,9.04,2270,0,0,0,64771
406,첩혈쌍웅,9.04,3570,0,0,0,250486
407,엑스맨: 퍼스트 클래스,9.04,5490,0,0,0,870595
408,세컨핸드 라이온스,9.04,240,0,0,0,6175
409,볼트,9.04,39500,0,0,0,373046
410,이보다 더 좋을 순 없다,9.04,4350,0,2,0,299382
411,퍼펙트 월드,9.04,4750,0,0,0,0
412,노팅 힐,9.04,37600,0,0,0,341691
413,에린 브로코비치,9.04,3860,0,1,0,225503
414,극장판 도라에몽:신 진구의 버스 오브 재팬,9.04,20,0,0,0,15058
415,극장판 마법소녀 마도카☆마기카 [전편] 시작의 이야기,9.04,20,0,0,0,3674
416,슈퍼스타 감사용,9.04,3240,0,0,0,330396
417,내 이야기!!,9.04,3800,0,0,0,6908
418,블랙,9.04,49000,0,0,0,310842
419,케이 팩스,9.03,5360,0,0,0,0
420,내부자들: 디 오리지널,9.03,6360,22498,0,0,564863
421,레이,9.03,133500,0,2,0,141402
422,하이큐!! 승자와 패자,9.03,240,0,0,0,11281
423,인디아나 존스,9.03,7820,0,0,0,0
424,가디언,9.03,12160,0,0,0,60136
425,러시 : 더 라이벌,9.03,470,0,0,0,55553
426,왕의 남자,9.03,90000,0,0,0,3660842
427,인디아나 존스 - 최후의 성전,9.03,220,0,0,0,491010
428,러브 오브 시베리아,9.03,1370,0,0,0,160146
429,도니 브래스코,9.03,570,0,0,0,33473
430,천녀유혼 3 - 도도도,9.03,60,0,0,0,75065
431,원피스 극장판 제트,9.03,490,0,0,0,0
432,메리 크리스마스,9.02,9940,0,0,0,4652
433,캡틴 필립스,9.02,4970,8396,0,0,97908
434,굿' 바이: Good & Bye,9.02,20,0,0,0,0
435,메리와 맥스,9.02,410,0,0,0,3645
436,키즈 리턴,9.02,890,0,0,0,5261
437,명탐정 코난: 칠흑의 추적자,9.02,2180,0,0,0,137471
438,크로싱,9.02,2030,0,0,0,299446
439,미져리,9.02,1070,0,1,0,0
440,마다가스카3 : 이번엔 서커스다!,9.02,20,0,0,0,447184
441,고스트 메신저 극장판,9.02,60,0,0,0,9450
442,비긴 어게인,9.02,97900,8908,0,0,1324469
443,쿵푸 팬더,9.02,15290,0,0,0,1556669
444,"그 시절, 우리가 좋아했던 소녀",9.02,30,0,0,0,21563
445,보디가드,9.02,30590,0,0,0,747238
446,성원,9.01,11430,0,0,0,202840
447,브이 포 벤데타,9.01,13220,0,0,0,217638
448,다크 나이트 라이즈,9.01,17860,0,0,0,2057529
449,청설,9.01,47510,0,0,0,9358
450,에너미 앳 더 게이트,9.01,5200,0,0,0,81986
451,싱 스트리트,9.01,28420,2328,0,0,236329
452,아마겟돈,9.01,12840,0,0,0,1170252
453,국제시장,9.01,31800,19765,0,0,3233946
454,개를 훔치는 완벽한 방법,9.01,6550,0,0,0,101680
455,얼라이브,9.01,25270,0,0,0,66031
456,K-19 위도우메이커,9.01,410,0,0,0,0
457,양들의 침묵,9.01,24770,0,4,0,281133
458,베테랑,9.01,49300,77364,0,0,3290366
459,제8요일,9.01,1660,0,0,0,104540
460,독수리 에디,9.01,4520,0,0,0,76061
461,선물,9.01,69100,0,0,0,479679
462,"조제, 호랑이 그리고 물고기들",9.01,20,0,0,0,27240
463,기쿠지로의 여름,9.01,4550,0,0,0,37078
464,마이 걸,9.01,8220,0,0,0,169832
465,그해 여름,9.0,12410,0,0,0,107774
466,빅 피쉬,9.0,7980,0,0,0,156818
467,경찰서를 털어라,9.0,3930,0,0,0,244767
468,미션 임파서블,9.0,41300,2582,0,0,622237
469,말레나,9.0,6890,0,0,0,25729
470,비밥바룰라,9.0,1130,0,0,0,13980
471,론 서바이버,9.0,18760,0,0,0,46564
472,다이 하드 3,9.0,2970,0,0,0,979666
473,김정일리아,9.0,30,0,0,0,0
474,더 헌트,9.0,6980,0,0,0,27204
475,골!,9.0,210,0,0,0,4871
476,GROW: 인피니트의 리얼 청춘 라이프,9.0,20,0,0,0,12339
477,다이노소어 어드벤처 3D,9.0,190,0,0,0,128585
478,어거스트 러쉬,9.0,44370,0,0,0,886657
479,해피 피트 2,9.0,830,0,0,0,48493
480,서프러제트,9.0,7290,0,0,0,16397
481,오버 더 레인보우,9.0,7100,0,0,0,240110
482,콜드 마운틴,9.0,1340,0,1,0,89750
483,울학교 이티,9.0,1340,0,0,0,160113
484,록 스탁 앤 투 스모킹 배럴즈,9.0,1340,0,0,0,0
485,번지 점프를 하다,9.0,15560,0,0,0,506529
486,마녀 배달부 키키,8.99,18860,0,0,0,13199
487,당신이 잠든 사이에,8.99,73900,0,0,0,17494
488,동감,8.99,28000,0,0,0,346279
489,아메리칸 뷰티,8.99,7780,0,4,0,391640
490,레인 오버 미,8.99,1840,0,0,0,0
491,끝까지 간다,8.99,48500,15381,0,0,927324
492,불멸의 연인,8.99,1880,0,0,0,188698
493,파도가 지나간 자리,8.99,6720,0,0,0,33216
494,48미터,8.99,70,0,0,0,5855
495,바그다드 카페 : 디렉터스컷,8.99,20,0,0,0,9202
496,수상한 그녀,8.99,147900,21768,0,0,2042110
497,에이미,8.99,33020,4299,0,0,7820
498,스플릿,8.99,12000,29297,0,0,177946
499,무간도 3 - 종극무간,8.99,230,0,0,0,44000
